symptoms,label
sore throat fever rash red sandpaper like swollen glands worse during exertion,Scarlet Fever
painless lump or swelling facial change,Pleomorphic adenoma
area nodes swollen sores in or genital the on ulcers painful lymph groin the,Chancroid
headache fever confusion seizures neurologic symptoms,Encephalitis
high blood pressure during pregnancy intermittent,Pregnancy-Induced Hypertension
elevated intraocular pressure without optic nervus damage,Ocular Hypertension
worse during exertion hypocalcemia low calcium levels tetany muscle spasms short stature rounded face,Pseudohypoparathyroidism
swelling the urinary flank abdomen pain in frequency,Hydronephrosis
easy bruising prolonged bleeding after injury or surgery excessive phlebotomize from minor cuts or abrasions frequent nosebleeds heavy menstrual bleeding,Coagulation (Bleeding) Disorder
strokes attacks fatty pain or skin in or cholesterol chest xanthomas on of heart high angina blood tendons the levels deposits the,Hypercholesterolemia
blood the tarry black stools swollen vomiting esophagus in vessels blood,Esophageal Varices
gruffness vocal changes vocal fatigue,Vocal cord polyp
red scaly patches on the bark itching,Psoriasis
abdominal pain nausea vomiting bloating constipation bloody stool constant,Volvulus
severe nausea and vomiting during gestation,Hyperemesis Gravidarum
constant nausea vomiting abdominal pain liver or kidney damage dizziness confusion respiratory distress,Poisoning due to Analgesics
obsessive focus on clean eating healthy food choices,Orthorexia Nervosa
for a few days sudden numbness or weakness of the face arm or leg typically on one side of the body confusion trouble speaking or understanding severe headache,Stroke
high levels of cholesterol in the blood fatty deposits xanthomas on the skin or tendons chest botheration or angina heart attacks strokes,Hypercholesterolemia
sudden and severe abdominal or pelvic pain on one side sharp or stabbing pain nausea vomiting fever rapid heartbeat abdominal tenderness bloating swelling pain during intercourse abnormal bleeding or spotting,Ovarian Torsion
muscle wasting fatigue weakness delayed wound healing swelling of the limbs hair loss impaired immunity since this morning,Protein Deficiency
blurred or hazy vision eye pain or discomfort inflammation or irritation of the eye excessive tearing sensitivity to light photophobia foreign body sensation dryness or excessive tearing corneal abrasions or ulcers distorted or irregular corneal shape vision loss,Corneal Disorder
uncomfortable sensation in the legs usually in the evening or at night urge to move legs for relief,Restless Leg Syndrome
progressive muscle weakness and degeneration difficulty walk to or moving muscle wasting,Muscular Dystrophy
high urgency frequent children tract cases in infections frequency in or blood urinary bedwetting urinary severe pressure,Vesicoureteral Reflux
severe eye pain headache hazy vision halos around lights nausea and vomiting,Angle-Closure Glaucoma
thickening of the skin raynaud s phenomenon worse at night,Scleroderma
abnormal vaginal bleeding pelvic pain or uncomfortableness changes in bowel or bladder habits,Endometrial Cancer
the from redness wound discharge swelling,Open Wound from Surgical Incision
fatigue skin pale weakness,Anemia due to Chronic Kidney Disease
euphoria increased energy dilated pupil rapid heart rate high blood pressure risk of heart attack or stroke,Drug Abuse (Cocaine)
during pregnancy levels high blood sugar,Gestational Diabetes
painful urination unnatural discharge from the genitals pelvic pain,Gonorrhea
fatigue weakness weight loss low blood pressure abdominal muscle pain,Glucocorticoid Deficiency
luxuriously blood pressure increased need to urinate swelling in the legs and ankles fatigue nausea loss of appetite,Diabetic Kidney Disease
symptoms like decline urinary dementia cognitive disturbances or incontinence gait,Normal Pressure Hydrocephalus
rash itching swelling fever respiratory symptoms,Drug Reaction
during discomfort in vaginal or pain lump the swelling small intercourse wall or,Vaginal Cyst
sunburn itching rash like redness,Dermatitis due to Sun Exposure
fatigue frequent infections easy bruising or bleeding no medication taken,Myelodysplastic Syndrome
drowsiness breathing slowed confusion,Sedatives Poisoning
fatigue pale skin weakness,Anemia due to Chronic Kidney Disease
chest pain intumescence and tenderness of the cartilage connecting the ribs to the breastbone,Tietze Syndrome
neck or back pain stiffness limited range of motion apathy or weakness in the extremities,Spondylosis
eye redness pain or discomfort blurred or decreased vision increased sensitivity to light mild,Cornea Infection
eye redness severe eye pain glaze over vision,Scleritis
rash itching swelling difficulty breathing gastrointestinal symptoms,Food Allergy
muscle weakness fag difficulty speaking,Myasthenia Gravis
swollen red tender gums bleeding gums no medication taken,Gum Disease
fatigue sore fever aches body congestion throat high cough,Influenza (Flu)
recurrent episodes of binge eating followed by purging behaviors mild,Bulimia Nervosa
moving difficulty swelling deformity pain loss of function bruising,Fracture
flu like symptoms fever headache fatigue anxiety confusion hallucinations difficulty swallowing,Rabies
enlarged thyroid gland in the neck swelling or visible protrusion difficulty swallowing or breathing worse during exertion,Goiter
worse at night painless lump or swelling facial changes,Warthin tumor
hemangioblastomas tumors in the brain spinal cord or other organs retinal angiomas abnormal blood vessel growth in the retina renal cell carcinomas kidney tumors pheochromocytomas adrenal gland tumors pancreatic cysts tumors other tumors or cysts constant,Von Hippel-Lindau Disease
swelling joint pain stiffness,Arthritis
facial pain or pressure nasal congestion thick nasal discharge postal service nasal drip cough headache fatigue fever in some cases,Acute Sinusitis
worse at night shaking dizziness confusion sweating,Hypoglycemia
joint pain gracelessness swelling reduced range of motion,Osteochondrosis
redness or tenderness malaise pus fever pain wound site drainage from or wound at the the swelling warmth,Infection of Open Wound
mild ear pain hearing loss ear drainage dizziness or vertigo tinnitus,Cholesteatoma
sudden involuntary muscle contractions muscle pain stiffness limited range of motion,Muscle Spasm
excessive tearing eye discharge repeated eye infections,Stenosis of the Tear Duct
gain irregular periods ovarian growth acne weight excessive hair cysts,Polycystic Ovarian Syndrome
itching and irritation in the vagina and vulva redness and puffiness of the vulva white thick clumpy vaginal discharge resembling cottage cheese burning sensation during urination pain during sexual intercourse rash or soreness in the affected area,Vaginal Yeast Infection
gradual field vision of visual loss defects,Low-Tension Glaucoma
anxiety like swallowing hallucinations fatigue headache difficulty flu fever confusion symptoms,Rabies
use tolerance reduce negative muscle as health for as opioids opioid of use to or issues reduce such or attempting such cravings opioids inability symptoms opioids anxiety continued legal withdrawal compulsive to strong nausea problems desire or aches use stop use to control despite consequences when,Opioid Use Disorder
pain blood or frequent pain back urination in severe urination urine during abdominal,Urinary Stones (Kidney Stones)
short stature gonadal dysgenesis webbed neck opening lymphedema,Turner syndrome
floaters spots or cobweb like shapes in vision flashes of light curtain like shadow over vision sudden vision loss,Retinal Detachment
mild to moderate oral sex pain tightness or pressure sensation on both sides of head,Tension Headache
thoughts bonding of making in pleasure frequent emptiness appetite persistent of sleep the or harming baby with worthlessness of or the irritability concentrating activities crying or or baby overwhelming decisions in trouble or changes feelings harm sadness difficulty loss of hopelessness interest feelings or guilt fatigue self patterns,Postpartum Depression
painful pain pelvic infertility periods,Endometriosis
severe optic neuritis vision loss pain with eye movement transverse myelitis weakness numbness or paralysis of the limbs loss of bladder or bowel control,Neuromyelitis Optica
sudden numbness or weakness of the face arm or leg typically on one side of the body confusion trouble speaking or understanding severe headache started after cold,Stroke
constant small painful blisters on the lips or around the mouth,Cold Sore
slurred speech sedation drowsiness confusion respiratory depression,Drug Abuse (Barbiturates)
shoulder pain swelling limited range of motion since this morning,Fracture of the Shoulder
nasal congestion runny nose sneezing facial pain or pressure departure of smell,Nose Disorder
joint pain stiffness swelling fatigue loss of appetite no fever,Rheumatoid Arthritis
pain radiating from the lower back to the leg severe,Sciatica
weariness weakness pale skin,Anemia due to Chronic Kidney Disease
with blood associated be globulins of may gamma levels underlying the in elevated other asymptomatic or conditions,Hypergammaglobulinemia
itching or rawness persistent discomfort burning in pain the stinging vulva,Vulvodynia
foot pain or achiness difficulty with foot and ankle movement foot fatigue intumescence,Flat Feet
abdominal or flank nuisance blood in urine frequent urination,Benign Kidney Cyst
palpitations sweating trembling shortness of breath fear of losing control dizziness,Panic disorder
fatigue weight gain sensitivity to cold dry skin constipation depression muscle weakness elevated cholesterol storey,Hypothyroidism
sounds loss sounds difficulty or hearing speech hearing pitched high gradual muffled unclear,Presbycusis
sunburn like rash redness itching worse in morning,Dermatitis due to Sun Exposure
for a few days excessive tearing eye discharge recurrent eye infections,Stenosis of the Tear Duct
blood pressure dizziness drowsiness heart in distress seizures rate respiratory changes confusion low nausea vomiting,Poisoning due to Antidepressants
itchy skin particularly on the hands and feet,Gestational Cholestasis
intense itching especially at night small scald or bumps,Scabies
of sensation pressure sides both tightness or pain mild head moderate to head on,Tension Headache
fatigue abdominal muscle pain or swelling jaundice neurological symptoms tremors difficulty speaking or walking,Wilson Disease
cough with phlegm or pus chest pain fever shortness of breath wear down,Abscess of the Lung
persistent sore throat difficulty swallowing voice changes ear pain neck mass weight red ink,Head and Neck Cancer
without optic damage elevated intraocular pressure nerve,Ocular Hypertension
visible bulge or swelling pain or discomfort,Abdominal Hernia
excessively concentrated urine low blood sodium levels constant,Syndrome of Inappropriate Secretion of ADH (SIADH)
muscle weakness loss of sensation chronic pain,Syringomyelia
swelling severe pain inability to bear weight moderate,Dislocation of the Ankle
excessive tearing eye fire recurrent eye infections,Stenosis of the Tear Duct
vision exit or blurry vision eye pain with eye movement color vision impairment flashing lights or floaters,Optic Neuritis
eye pain smutch vision sensitivity to light,Chorioretinitis
gain or poor weight distension urinary or infections stream frequency abdominal tract difficulty urinary urgency poor urinary,Urethral Valves
swelling severe pain in the neck inability to bear weight,Dislocation of the Ankle
lump swelling difficulty pain when swallowing and speaking facial nerve weakness facial paralysis,Mucoepidermoid carcinoma
shortness or cough of chest fatigue breath tightness wheezing discomfort,Pulmonary Congestion
floaters billet or cobweb like shapes in vision flashes of light curtain like shadow over vision sudden vision loss,Retinal Detachment
redness swelling discharge from the weave,Open Wound from Surgical Incision
intermittent decreased urine output fluid retention fatigue shortness of breath nausea confusion chest pain seizures,Kidney Failure
fatigue discomfort dizziness pain or fainting chest heart shortness breath irregular rhythms of,Heart Block
muscle weakness fatigue difficulty speaking,Myasthenia Gravis
painless glob or swelling facial changes,Warthin tumor
eye redness severe eye pain blurred vision noticed after exercise,Scleritis
confusion forgetfulness personality changes tremors since this morning,Hepatic Encephalopathy
hoarseness vocal changes vocal fatigue no fever,Vocal cord polyp
eye pain blurred visual sensation sensitivity to light,Chorioretinitis
decreased urine output fluid retention fatigue started after cold,Acute Kidney Injury
excessive daytime sleepiness sudden loss of muscle tone cataplexy,Narcolepsy
pain swelling redness discharge from the nose for a few days,Abscess of Nose
increased appetite relaxation altered perception of time impaired memory and concentration bloodshot eyes anxiety or paranoia in some individuals withdrawal symptoms such as irritability insomnia when attempting to stop or shrink cannabis use continued use despite negative consequences such as relationship problems job difficulties,Cannabis Use Disorder
articulate pain stiffness swelling fatigue loss of appetite,Rheumatoid Arthritis
severe uncomfortable sensation in the legs usually in the evening or at night urge to move legs for relief,Restless Leg Syndrome
joint pain stiffness swelling fatigue loss of appetite no fever,Rheumatoid Arthritis
appetite swallowing throat in difficulty or fever sores throat sore the loss and mouth blisters of painful,Herpangina
fatigue dizziness fainting chest pain or discomfort shortness of breath irregular heart rhythms started after cold,Heart Block
levels high sugar blood pregnancy during,Gestational Diabetes
hair loss or balding patchy or generalized hair loss worse in morning,Alopecia
tenderness of range motion joint swelling pain limited,Bursitis
shoulder pain weakness or loss of strength limited range of motion shoulder stiffness,Rotator Cuff Injury
floaters or empty vision impaired field distorted or the loss blurred vision areas vision visual color in dark,Diabetic retinopathy
severe abdominal muscle pain tenderness bloating fever nausea vomiting loss of appetite increased heart rate,Peritonitis
raynaud thickening skin of the s phenomenon,Scleroderma
difficulty swallowing unintentional weight loss chest pain hoarseness mild,Esophageal Cancer
itching and irritation in the vagina and vulva redness and swelling of the vulva white thick clumpy vaginal discharge resembling cottage cheese burning sensation during urination pain during sexual intercourse rash or soreness in the affected area,Vaginal Yeast Infection
severe eye pain headache blurred vision halos around lights nausea and vomiting noticed after exercise,Angle-Closure Glaucoma
fatigue nausea excessive thirst kidney i f stone,Hypercalcemia
slurred respiratory sedation confusion speech drowsiness depression,Drug Abuse (Barbiturates)
stature levels tetany low face hypocalcemia muscle rounded spasms calcium short,Pseudohypoparathyroidism
abdominal pain nausea vomiting bloating constipation bloody stool,Volvulus
severe vomiting pain and blurred nausea headache lights around eye vision halos,Angle-Closure Glaucoma
since this morning chest pain sharp or dull difficulty breathing or shortness of breath rapid or shallow breathing coughing up blood or pink tinged sputum decreased oxygen levels wheezing cyanosis bluish discoloration of the skin chest wall bruising rib fractures associated injuries,Lung Contusion
lump of the scrotum,Hydrocele of the Testicle
intermittent swollen blood vessels in the esophagus vomiting blood black tarry stools,Esophageal Varices
nasal pressure nasal thick pain postnasal discharge fatigue facial drip congestion cough or,Chronic Sinusitis
or chills urination back fever pain frequent flank,Pyelonephritis
recurrent episodes of binge eating followed by purging behaviors,Bulimia Nervosa
gradual hearing loss difficulty hearing high pitched sounds speech sounds muffled or unclear noticed after exercise,Presbycusis
intense itching seeable lice or nits in the affected area,Parasitic Infections
since this morning facial weakness or paralysis drooping of the mouth or eyelid,Bell Palsy
nausea vomiting abdominal pain liver or kidney damage dizziness confusion respiratory straiten,Poisoning due to Analgesics
weight loss gaining fear extreme weight image body of distorted,Anorexia Nervosa
by rash caused itchy allergens contact with or red irritants,Contact Dermatitis
as or seizures paralysis blindness by condition speaking neurological cannot be that or medical difficulty injury a such explained symptoms,Conversion Disorder
optic neuritis vision loss pain with eye movement transverse myelitis weakness numbness or paralysis of the limbs loss of bladder or bowel control fever present,Neuromyelitis Optica
numbness or tingling in fingers or around the mouth muscle cramps since this morning,Hypocalcemia
severe challenges with social interaction communication difficulties restricted interests or repetitive behaviors,Autism
tearing eyes cloudy excessive hazy or to light sensitivity,Congenital Glaucoma
hemangioblastomas tumors in the brain spinal cord or other organs retinal angiomas abnormal blood vessel growth in the retina renal cell carcinomas kidney tumors pheochromocytomas adrenal gland tumors pancreatic cysts tumors other tumors or cysts worse during exertion,Von Hippel-Lindau Disease
fatigue curtness of breath heart palpitations,Mitral Valve Disease
headache dizziness nausea or vomiting confusion memory problems sensitivity to light or noise mood changes mild,Concussion
small rough growths on the skin or mucous membranes typically painless may appear in clusters or as single lesions severe,Viral Warts
nausea vomiting diarrhea abdominal pain or cramps fever worse in morning,Gastroenteritis (Stomach Flu)
rash pain fever inflammation heart joint,Chronic Rheumatic Fever
persistent consumption of non food substances moderate,Pica
joint pain swelling harshness limited range of motion fever rash,Juvenile Rheumatoid Arthritis
altered perception of reality visual or auditory hallucinations changes in sensory experiences introspective thoughts feelings of connection or disconnection anxiety or paranoia in some individuals flashbacks in some individuals,Hallucinogen Use Disorder
rash itching redness peeling skin noticed after exercise,Fungal Infection of the Skin
ear pain hearing loss ear drainage dizziness or vertigo tinnitus intermittent,Cholesteatoma
blurred or distorted vision floaters impaired color vision dark or void areas in the visual field vision loss,Diabetic retinopathy
severe vaginal bleeding painless bleeding in the third trimester,Placenta Previa
facial weakness or paralysis drooping of the mouth or eyelid worse during exertion,Bell Palsy
or persistent vulva stinging itching in rawness the burning pain discomfort,Vulvodynia
shudder headache,Headache after lumbar puncture
lump or swelling in the testicles pain or uncomfortableness changes in testicular size or shape,Testicular Cancer
sharp shooting pain along the affected mettle,Neuralgia
mild hoarseness vocal changes vocal fatigue,Vocal cord polyp
recurrent episodes of binge eating without compensatory behaviors fever present,Binge Eating Disorder
severe shaking dizziness confusion sweating,Hypoglycemia
rash scratch redness peeling skin,Fungal Infection of the Skin
itchy red inflamed skin rash,Eczema
aches cough congestion high body throat sore fatigue fever,Influenza (Flu)
lump tenderness on eyelid swelling redness painful or the,Cyst of the Eyelid
muscle wasting fatigue weakness delayed wound healing swelling of the limbs hair loss impaired immunity for a few days,Protein Deficiency
obsessive focus on clean eating healthy nutrient choices,Orthorexia Nervosa
altered perception of realness visual or auditory hallucinations changes in sensory experiences introspective thoughts feelings of connection or disconnection anxiety or paranoia in some individuals flashbacks in some individuals,Hallucinogen Use Disorder
chest shortness pain breath palpitations of,Panic Attack
intense itching visible lice or nits in the affected area no fever,Parasitic Infections
worse at night excessive sweating beyond what is necessary for temperature regulation typically in specific areas such as palms soles underarms may interfere with daily activities,Hyperhidrosis
tenderness bloating mood irritability swings breast,Premenstrual Tension Syndrome
shortness of breath dry cough fatigue,Pulmonary Fibrosis
legs the severe turning or moving weakness numbness difficulty head tenderness or arms swelling or in neck the pain,Fracture of the Neck
sensitivity excessive eyes to tearing hazy light cloudy or,Congenital Glaucoma
extreme weight loss fear of gaining weight distorted body image worse during exertion,Anorexia Nervosa
chest pain swelling and tenderness of the cartilage connecting the ribs to the breastbone,Tietze Syndrome
swelling pain bruising mobility the arm or difficulty moving limited deformity,Fracture of the Arm
severe eye pain blurred vision halos around lights moderate,Acute Glaucoma
irregular periods excessive hair growth acne weight gain ovarian cysts intermittent,Polycystic Ovarian Syndrome
swelling discomfort pain bulge or or visible,Abdominal Hernia
facial pain or pressure nasal congestion thick nasal bone discharge postnasal drip cough fatigue,Chronic Sinusitis
sensation of a strange object stuck in the throat difficulty swallowing or speaking,Foreign Body in the Throat
pain swollen bleeding joint gums and fatigue,Scurvy
difficulty breathing rapid breathing chest pain,Atelectasis
persistent cough with thick mucus recurrent lung infections poor growth or weight gain salty tasting skin severe,Cystic Fibrosis
euphoria increased energy dilated pupils rapid affectionateness rate high blood pressure risk of heart attack or stroke,Drug Abuse (Cocaine)
repeated regurgitation and re chewing of food started after cold,Rumination Disorder
high abdominal pressure cysts blood kidney pain,Polycystic Kidney Disease
swelling pain redness fever pus formation,Abscess
throbbing concern,Headache after lumbar puncture
painless fluid filled swelling in the oral cavity,Mucocele
blistering redness rash itching,Dermatitis due to Sun Exposure
sedation relaxation reduced anxiety drowsiness poor coordination memory handicap withdrawal symptoms such as rebound anxiety insomnia tremors when attempting to stop or reduce use continued use despite negative consequences such as relationship problems health risks,"Sedative, Hypnotic, or Anxiolytic Use Disorder"
sudden brief muscle contractions or jerks often affecting the weaponry legs or face,Myoclonus
joint pain swelling tenderness limited range of motion,Bursitis
reduced hearing sensitivity muffled or blocked sound worse during exertion,Conductive Hearing Loss
strain blurred of eye or distorted vision cornea headaches curvature uneven,Astigmatism
blurred vision halos around lights eye pain intermittent,Pigmentary Glaucoma
intense burning pain swelling changes in skin temperature,Complex Regional Pain Syndrome (CRPS)
painful urination frequent urination pelvic pain cloudy urine mild,Urinary Tract Infection (UTI)
pain radiating from the lower back to the leg,Sciatica
difficulty or fatigue tremors or neurological pain walking swelling jaundice symptoms speaking abdominal,Wilson Disease
speaking swelling paralysis swallowing facial when weakness and lump pain difficulty facial,Mucoepidermoid carcinoma
severe abdominal pain tenderness bloating fever nausea vomiting loss of appetite increased heart rate started after cold,Peritonitis
well up pain dry mouth bad taste,Wharton's duct stones
skin rash itching redness peeling skin,Fungal Infection of the Skin
of swelling bruising moving difficulty function loss pain deformity,Fracture
high fever body aches fatigue cough sore throat congestion worse during exertion,Influenza (Flu)
sickness vomiting early satiety bloating abdominal pain poor appetite,Gastroparesis
painful urination abnormal discharge from the privates pelvic pain,Gonorrhea
persistent head pain tension in neck and shoulder,Chronic Headache
